Action Type,Option ID,Location Type,Location ID,On-Query Reason Code
ADD,100015544,Parent Warehouse,FC01,15
ADD,100015546,Parent Warehouse,FC01,15
ADD,100015547,Parent Warehouse,FC01,15
ADD,100015548,Parent Warehouse,FC01,15
ADD,100015549,Parent Warehouse,FC01,15
ADD,100015550,Parent Warehouse,FC01,15
ADD,100015551,Parent Warehouse,FC01,15
ADD,100015552,Parent Warehouse,FC01,15
ADD,100015553,Parent Warehouse,FC01,15
ADD,100015554,Parent Warehouse,FC01,15
ADD,100015561,Parent Warehouse,FC01,15
ADD,100015565,Parent Warehouse,FC01,15
ADD,100015566,Parent Warehouse,FC01,15
ADD,100015568,Parent Warehouse,FC01,15
ADD,100015570,Parent Warehouse,FC01,15
ADD,100015572,Parent Warehouse,FC01,15
ADD,100015574,Parent Warehouse,FC01,15
ADD,100015580,Parent Warehouse,FC01,15
ADD,100015582,Parent Warehouse,FC01,15
ADD,100015583,Parent Warehouse,FC01,15
ADD,100015585,Parent Warehouse,FC01,15
ADD,100015591,Parent Warehouse,FC01,15
ADD,100015593,Parent Warehouse,FC01,15
ADD,100015596,Parent Warehouse,FC01,15
ADD,100015598,Parent Warehouse,FC01,15
ADD,100015599,Parent Warehouse,FC01,15
ADD,100015601,Parent Warehouse,FC01,15
ADD,100015607,Parent Warehouse,FC01,15
ADD,100015610,Parent Warehouse,FC01,15
ADD,100015611,Parent Warehouse,FC01,15
ADD,100015612,Parent Warehouse,FC01,15
ADD,100015614,Parent Warehouse,FC01,15
ADD,100015621,Parent Warehouse,FC01,15
ADD,100015632,Parent Warehouse,FC01,15
ADD,100015638,Parent Warehouse,FC01,15
ADD,100015639,Parent Warehouse,FC01,15
ADD,100015640,Parent Warehouse,FC01,15
ADD,100015641,Parent Warehouse,FC01,15
ADD,100015642,Parent Warehouse,FC01,15
ADD,100015649,Parent Warehouse,FC01,15
ADD,100015650,Parent Warehouse,FC01,15
ADD,100015657,Parent Warehouse,FC01,15
ADD,100015659,Parent Warehouse,FC01,15
ADD,100015660,Parent Warehouse,FC01,15
ADD,100015662,Parent Warehouse,FC01,15
ADD,100015663,Parent Warehouse,FC01,15
ADD,100015664,Parent Warehouse,FC01,15
ADD,100015665,Parent Warehouse,FC01,15
ADD,100015667,Parent Warehouse,FC01,15
ADD,100015669,Parent Warehouse,FC01,15
ADD,100015670,Parent Warehouse,FC01,15
ADD,100015672,Parent Warehouse,FC01,15
ADD,100015673,Parent Warehouse,FC01,15
ADD,100015674,Parent Warehouse,FC01,15
ADD,100015676,Parent Warehouse,FC01,15
ADD,100015682,Parent Warehouse,FC01,15
ADD,100015683,Parent Warehouse,FC01,15
ADD,100015684,Parent Warehouse,FC01,15
ADD,100015685,Parent Warehouse,FC01,15
ADD,100015687,Parent Warehouse,FC01,15
ADD,100015688,Parent Warehouse,FC01,15
ADD,100015691,Parent Warehouse,FC01,15
ADD,100015692,Parent Warehouse,FC01,15
ADD,100015693,Parent Warehouse,FC01,15
ADD,100015694,Parent Warehouse,FC01,15
ADD,100015695,Parent Warehouse,FC01,15
ADD,100015697,Parent Warehouse,FC01,15
ADD,100015698,Parent Warehouse,FC01,15
ADD,100015699,Parent Warehouse,FC01,15
ADD,100015700,Parent Warehouse,FC01,15
ADD,100015701,Parent Warehouse,FC01,15
ADD,100015702,Parent Warehouse,FC01,15
ADD,100015704,Parent Warehouse,FC01,15
ADD,100015706,Parent Warehouse,FC01,15
ADD,100015707,Parent Warehouse,FC01,15
ADD,100015708,Parent Warehouse,FC01,15
ADD,100015709,Parent Warehouse,FC01,15
ADD,100015710,Parent Warehouse,FC01,15
ADD,100015711,Parent Warehouse,FC01,15
ADD,100015712,Parent Warehouse,FC01,15
ADD,100015713,Parent Warehouse,FC01,15
ADD,100015714,Parent Warehouse,FC01,15
ADD,100015715,Parent Warehouse,FC01,15
ADD,100015716,Parent Warehouse,FC01,15
ADD,100015717,Parent Warehouse,FC01,15
ADD,100015718,Parent Warehouse,FC01,15
ADD,100015721,Parent Warehouse,FC01,15
ADD,100015722,Parent Warehouse,FC01,15
ADD,100015723,Parent Warehouse,FC01,15
ADD,100015724,Parent Warehouse,FC01,15
ADD,100015725,Parent Warehouse,FC01,15
ADD,100015726,Parent Warehouse,FC01,15
ADD,100015727,Parent Warehouse,FC01,15
ADD,100015728,Parent Warehouse,FC01,15
