CLEARANCE_DISPLAY_ID,Item_Number
34551978,128879807
34551989,130473742
34552010,130599242
34552061,124564670
34552075,124678730
34552092,124828566
34552107,124828546
34552115,124828571
34552132,125073547
34552145,125223472
34552157,125303470
34552174,125408642
34552185,125713617
34552201,126133665
34552230,126398716
34552247,126544355
34552255,126731236
34552272,127219300
34552289,127254577
34552297,127264248
34552326,127285853
34552344,127353700
34552436,118842060
34552450,120123444
34552459,120974709
34550011,130859291
34550017,131208770
34550026,131353733
34550039,131484061
34550047,131689405
34550082,131853864
34550095,132266357
34550101,132337160
34550120,112583389
34550127,116328501
34550143,117328344
34550160,120000203
34550165,123403748
34550175,123878657
34550188,124368437
34550196,125509280
34554515,128869983
34554526,128870242
34554533,128871339
34554541,128880977
34554550,128912687
34554558,128923709
34554567,128939167
34554889,127983641
34554904,128259135
34554919,128278805
34554923,132142944
34554933,128423627
34554943,132374678
34554946,128478620
34554952,128793905
34554965,128806571
34554966,128293633
34554975,128816968
34554979,128816963
34554989,129398731
34554998,128845288
34555007,128881852
34555008,130650007
34543691,127284992
34543714,127299662
34543729,127358823
34543743,127358866
34543827,122696408
34543831,122808389
34543850,122871055
34543871,122976461
34543883,123073718
34543900,123088676
34543909,123173519
34543921,123173508
34557363,127218572
34557376,127243534
34557390,127254560
34557405,127264247
34557438,127285850
34557450,127285020
34557463,127299675
34557471,127353701
34557492,127358890
34557511,127393885
34557527,127395951
34557554,127437117
34564588,124583402
34564601,124593977
34564613,124594017
34564760,124683464
34564777,124823852
34564791,124913485
34564806,126450753
34564825,126594454
34564922,130449031
34564942,130809528
34543948,123275166
34543957,123346233
34543965,123384218
34543980,123523701
34543993,123603997
