Item_Number,Zone,Pcid
100879532,111,36031419
100879532,112,36031420
100879532,113,36031421
100879532,114,36031422
100879532,99,36031407
100913383,100,36031552
100913383,101,36031553
100913383,102,36031554
100913383,103,36031555
100913383,104,36031556
100913383,105,36031557
100913383,106,36031558
100913383,107,36031559
100913383,108,36031560
100913383,109,36031561
100913383,110,36031562
100913383,111,36031563
100913383,112,36031564
100913383,113,36031565
100913383,114,36031566
100913383,99,36031551
100939035,100,36023744
100939035,101,36023745
100939035,102,36023746
100939035,103,36023747
100939035,104,36023748
100939035,105,36023749
100939035,106,36023750
100939035,107,36023751
100939035,108,36023752
100939035,109,36023753
100939035,110,36023754
100939035,111,36023755
100939035,112,36023756
100939035,113,36023757
100939035,114,36023758
100939035,99,36023743
100962051,100,36031744
100962051,101,36031745
100962051,102,36031746
100962051,103,36031747
100962051,104,36031748
100962051,105,36031749
100962051,106,36031750
100962051,107,36031751
100962051,108,36031752
100962051,109,36031753
100962051,110,36031754
100962051,111,36031755
100962051,112,36031756
100962051,113,36031757
100962051,114,36031758
100962051,99,36031743
100982496,100,36022800
100982496,101,36022801
100982496,102,36022802
100982496,103,36022803
100982496,104,36022804
100982496,105,36022805
100982496,106,36022806
100982496,107,36022807
100982496,108,36022808
100982496,109,36022809
100982496,110,36022810
100982496,111,36022811
100982496,112,36022812
100982496,113,36022813
100982496,114,36022814
100982496,99,36022799
100982622,100,36022784
100982622,101,36022785
100982622,102,36022786
100982622,103,36022787
100982622,104,36022788
100982622,105,36022789
100982622,106,36022790
100982622,107,36022791
100982622,108,36022792
100982622,109,36022793
100982622,110,36022794
100982622,111,36022795
100982622,112,36022796
100982622,113,36022797
100982622,114,36022798
100982622,99,36022783
100982662,100,36023760
100982662,101,36023761
100982662,102,36023762
100982662,103,36023763
100982662,104,36023764
100982662,105,36023765
100982662,106,36023766
100982662,107,36023767
100982662,108,36023768
100982662,109,36023769
100982662,110,36023770
100982662,111,36023771
100982662,112,36023772
100982662,113,36023773
100982662,114,36023774
100982662,99,36023759
101003696,100,36022960
101003696,101,36022961
101003696,102,36022962
101003696,103,36022963
101003696,104,36022964
101003696,105,36022965
101003696,106,36022966
101003696,107,36022967
101003696,108,36022968
101003696,109,36022969
101003696,110,36022970
101003696,111,36022971
101003696,112,36022972
101003696,113,36022973
101003696,114,36022974
101003696,99,36022959
101003705,100,36022944
101003705,101,36022945
101003705,102,36022946
101003705,103,36022947
