OptionID,DespatchMonth,PartnerID,Store_Name,DC,StoreID,SalesOrder,SalesOrdtype,CancelId,CancelDate,Units_by_size,Error_desc,Buying_Group,Business_Model_Name,OrderRowCode,OriginalErrorDate,Assigned_Team,Brand_Code,OB_Name,OB_Tab_Name
104682335,01-FEB-23,30025,Nordstrom DIR East,,,XFQ8JINI,MCO,,,W24L28:0,Receipt exists for the Supplier PO; cannot create new Sales Order. - WP_SO_IMPORT_SQL.POPULATE_HEAD_OBJECT,Denim TS,Topshop,#XFQ8JI,17-FEB-23,Commercial Team,TS,JEANS NEW,Denim
104682335,01-FEB-23,30026,Nordstrom FLS,,,XFQ8JINF,MCO,,,W24L28:0,Receipt exists for the Supplier PO; cannot create new Sales Order. - WP_SO_IMPORT_SQL.POPULATE_HEAD_OBJECT,Denim TS,Topshop,#XFQ8JI,17-FEB-23,Commercial Team,TS,JEANS NEW,Denim
104682335,01-FEB-23,30027,Nordstrom RSW,,,XFQ8JINR,MCO,,,W30L28:103|W32L28:68|W25L28:141|W26L28:202|W28L28:194|W24L28:94|W27L28:224|W29L28:151|W33L28:48,Receipt exists for the Supplier PO; cannot create new Sales Order. - WP_SO_IMPORT_SQL.POPULATE_HEAD_OBJECT,Denim TS,Topshop,#XFQ8JI,17-FEB-23,Commercial Team,TS,JEANS NEW,Denim
104682335,01-FEB-23,30072,Nordstrom DIR West,,,XFQ8JINJ,MCO,,,W24L28:0,Receipt exists for the Supplier PO; cannot create new Sales Order. - WP_SO_IMPORT_SQL.POPULATE_HEAD_OBJECT,Denim TS,Topshop,#XFQ8JI,17-FEB-23,Commercial Team,TS,JEANS NEW,Denim
108048494,01-FEB-23,30025,Nordstrom DIR East,,,BM8894NI,MCO,,,W24L30:0,Receipt exists for the Supplier PO; cannot create new Sales Order. - WP_SO_IMPORT_SQL.POPULATE_HEAD_OBJECT,Denim TS,Topshop,#BM8894,17-FEB-23,Commercial Team,TS,JEANS NEW,Denim
108048494,01-FEB-23,30026,Nordstrom FLS,,,BM8894NF,MCO,,,W24L30:0,Receipt exists for the Supplier PO; cannot create new Sales Order. - WP_SO_IMPORT_SQL.POPULATE_HEAD_OBJECT,Denim TS,Topshop,#BM8894,17-FEB-23,Commercial Team,TS,JEANS NEW,Denim
108048494,01-FEB-23,30027,Nordstrom RSW,,,BM8894NR,MCO,,,W25L32:484|W26L32:750|W28L32:668|W30L32:369|W32L32:139|W34L32:21|W24L32:90|W27L32:787|W29L32:529|W31L32:234|W33L32:29,Receipt exists for the Supplier PO; cannot create new Sales Order. - WP_SO_IMPORT_SQL.POPULATE_HEAD_OBJECT,Denim TS,Topshop,#BM8894,17-FEB-23,Commercial Team,TS,JEANS NEW,Denim
108048494,01-FEB-23,30068,Nordstrom Canada RSW,,,BM8894NC,MCO,,,W25L32:42|W26L32:66|W28L32:59|W30L32:32|W32L32:13|W34L32:2|W24L32:8|W27L32:69|W29L32:47|W31L32:20|W33L32:2,Receipt exists for the Supplier PO; cannot create new Sales Order. - WP_SO_IMPORT_SQL.POPULATE_HEAD_OBJECT,Denim TS,Topshop,#BM8894,17-FEB-23,Commercial Team,TS,JEANS NEW,Denim
108048494,01-FEB-23,30072,Nordstrom DIR West,,,BM8894NJ,MCO,,,W24L30:0,Receipt exists for the Supplier PO; cannot create new Sales Order. - WP_SO_IMPORT_SQL.POPULATE_HEAD_OBJECT,Denim TS,Topshop,#BM8894,17-FEB-23,Commercial Team,TS,JEANS NEW,Denim
115063420,01-FEB-23,30013,LaModa,,,0KSSZ3LM,MCO,,,W28:0|W30:0|W32:0|W34:0|W36:0,Could not find approved Supplier PO for the wholesale order row code. - WP_SO_IMPORT_SQL.POPULATE_HEAD_OBJECT,Shorts TM,Topman,#0KSSZ3,17-FEB-23,Commercial Team,TM,Bottoms & Tailoring,Shorts
115063420,01-FEB-23,30022,Namshi,,,0KSSZ3NM,MCO,,,W28:2|W30:8|W32:9|W34:7|W36:4,Could not find approved Supplier PO for the wholesale order row code. - WP_SO_IMPORT_SQL.POPULATE_HEAD_OBJECT,Shorts TM,Topman,#0KSSZ3,17-FEB-23,Commercial Team,TM,Bottoms & Tailoring,Shorts
115873938,01-MAR-23,30025,Nordstrom DIR East,,,MM8OZANI,MCO,6,09-JAN-23,L:0|M:0|S:0|XL:0|XS:0|XXL:0,ORA-01403: no data found
ORA-01422: exact fetch returns more than requested number of rows - WP_SO_IMPORT_SQL.POPULATE_HEAD_OBJECT - 100,Jersey TM,Topman,#MM8OZA,17-FEB-23,Commercial Team,TM,Jersey,HW Jersey

