Item_Number,Barcodes
143713364,2200004903125
143713365,2200004903132
143713367,2200004903149
143713368,2200004903156
143713370,2200004903163
143713372,2200004903170
143713375,2200004903187
143713376,2200004903194
143713379,2200004903200
143713381,2200004903217
143713382,2200004903224
143713384,2200004903231
143713387,2200004903248
143713390,2200004903255
143713392,2200004903262
143713394,2200004903279
143713397,2200004903286
143713400,2200004903293
143713402,2200004903309
143713403,2200004903316
143713404,2200004903323
143713405,2200004903330
143713410,2200004903347
143713412,2200004903354
143713413,2200004903361
143713414,2200004903378
143713415,2200004903385
143713416,2200004903392
143713418,2200004903408
143713419,2200004903415
143713422,2200004903422
143713425,2200004903439
143713426,2200004903446
143713428,2200004903453
143713431,2200004903460
143713433,2200004903477
143713435,2200004903484
143713439,2200004903491
143713440,2200004903507
143713442,2200004903514
143713443,2200004903521
143713446,2200004903538
143713451,2200004903545
143713452,2200004903552
143713453,2200004903569
143713454,2200004903576
143713455,2200004903583
143713460,2200004903590
143713462,2200004903606
143713463,2200004903613
143713464,2200004903620
143713465,2200004903637
143713466,2200004903644
143713468,2200004903651
143713469,2200004903668
143713471,2200004903675
143713474,2200004903682
143713476,2200004903699
143713479,2200004903705
143713480,2200004903712
143713483,2200004903729
143713484,2200004903736
143713489,2200004903743
143713490,2200004903750
143713491,2200004903767
143713494,2200004903774
143713495,2200004903781
143713501,2200004903798
143713502,2200004903804
143713503,2200004903811
143713504,2200004903828
143713505,2200004903835
143713509,2200004903842
143713510,2200004903859
143713513,2200004903866
143713514,2200004903873
143713516,2200004903880
143713518,2200004903897
143713519,2200004903903
143713520,2200004903910
143713522,2200004903927
143713525,2200004903934
143713526,2200004903941
143713527,2200004903958
143713528,2200004903965
143713530,2200004903972
143713534,2200004903989
143713536,2200004903996
143713540,2200004904009
143713542,2200004904016
143713543,2200004904023
143713548,2200004904030
143713550,2200004904047
143713552,2200004904054
143713553,2200004904061
143713555,2200004904078
143713557,2200004904085
143713559,2200004904092
143713560,2200004904108
143713562,2200004904115
143713564,2200004904122
143713567,2200004904139
143713568,2200004904146
143713570,2200004904153
143713571,2200004904160
143713573,2200004904177
143713574,2200004904184
143713575,2200004904191
143713578,2200004904207
143713579,2200004904214
143713582,2200004904221
143713585,2200004904238
143713586,2200004904245
143713588,2200004904252
143713589,2200004904269
143713592,2200004904276
143713599,2200004904283
143713600,2200004904290
143713601,2200004904306
143713602,2200004904313
143713605,2200004904320
143713608,2200004904337
143713609,2200004904344
143713610,2200004904351
143713612,2200004904368
143713613,2200004904375
143713617,2200004904382
143713618,2200004904399
143713619,2200004904405
143713622,2200004904412
143713623,2200004904429
143713624,2200004904436
143713628,2200004904443
143713629,2200004904450
143713630,2200004904467
143713631,2200004904474
143713634,2200004904481
143713636,2200004904498
143713637,2200004904504
143713640,2200004904511
143713641,2200004904528
143713649,2200004904535
143713650,2200004904542
143713651,2200004904559
143713652,2200004904566
143713655,2200004904573
143713658,2200004904580
143713659,2200004904597
143713661,2200004904603
143713662,2200004904610
143713663,2200004904627
143713666,2200004904634
143713667,2200004904641
143713669,2200004904658
143713672,2200004904665
143713673,2200004904672
143713676,2200004904689
143713677,2200004904696
143713678,2200004904702
143713680,2200004904719
143713681,2200004904726
143713685,2200004904733
143713687,2200004904740
143713688,2200004904757
143713692,2200004904764
143713693,2200004904771
143713699,2200004904788
143713700,2200004904795
143713701,2200004904801
143713702,2200004904818
143713705,2200004904825
143713708,2200004904832
143713710,2200004904849
143713712,2200004904856
143713714,2200004904863
143713715,2200004904870
143713716,2200004904887
143713717,2200004904894
143713718,2200004904900
